"team","total","attack","defense","n.games","region","age","fall.league","win.league","spr.league","other"
"West Coast FC B97",2238,169.43,125.62,16,"CAS","B97","SCDL Fl1 U17","","",""
"RSF Attack Academy B97",2185,149.81,98.5,12,"CAS","B97","SCDL Fl1 U17","","",""
"CA Rush B97",2178,158.76,88.4,12,"CAS","B97","SCDL Fl1 U17","","",""
"Santa Clarita Valley SC B97",2165,135.73,94.54,12,"CAS","B97","SCDL Fl1 U17","","",""
"FC Golden State Platinum B97",2145,192.9,58.16,12,"CAS","B97","SCDL Fl1 U17","","",""
"CA Rush B98",2141,88.25,123.02,12,"CAS","B98","SCDL Fl1 U16","","",""
"Beach FC Pena B97",2141,103.65,104.72,16,"CAS","B97","SCDL Fl1 U17","","",""
"FC Los Angeles Black B97",2087,87.12,85.67,12,"CAS","B97","SCDL Fl1 U17","","",""
"Beach FC Black B97",2082,156.43,46.25,10,"CAS","B97","SCDL Fl1 U17","","",""
"Strikers FC North B97",2048,122.77,46.45,11,"CAS","B97","SCDL Fl1 U17","","",""
"Del Mar Sharks B97",2039,78.69,68.19,12,"CAS","B97","SCDL Fl1 U17","","",""
"Whatcom Rangers Gold B95",2036,30.31,173.21,8,"WA","B95","","","",""
"Seattle United Copa B98",2034,83.98,61.77,31,"WA","B98","RCL B98 Div 1","","","FWRL98, WYS Championship B98"
"Seattle United Copa B96",2020,94.02,50.02,34,"WA","B96","RCL B96 Div 1","","","FWRL96, WYS Championship B96"
"Eastside FC Red B98",2019,68.78,68.02,38,"WA","B98","RCL B98 Div 1","","","FWRL98, WYS Championship B98"
"Pateadores CM B97",2016,88.77,51.56,12,"CAS","B97","SCDL Fl1 U17","","",""
"LA Galaxy Bakersfield B97",2013,96.85,46.28,12,"CAS","B97","SCDL Fl1 U17","","",""
"Snohomish United Black B96",1995,86.61,45.71,29,"WA","B96","RCL B96 Div 1","","","FWRL96, WYS Championship B96"
"Crossfire Oregon Green I WUSC Arsenal B97",1995,60.53,65.39,28,"OR","B97","","","Win OYS B97 Premier","NWCL U17, OYS State Cup B97"
"Real So Cal White B97",1977,76.75,45.57,12,"CAS","B97","SCDL Fl1 U17","","",""
"Downtown SC B97",1969,67.65,48.83,11,"CAS","B97","SCDL Fl1 U17","","",""
"WPFC Black B98",1965,55.74,57.49,45,"WA","B98","RCL B98 Div 1","","","NWCL U16, WYS Championship B98"
"Westside Timbers Copa B95",1959,74.05,41.72,10,"OR","B95","","","",""
"Del Mar Sharks White B98",1958,63.62,48.16,13,"CAS","B98","SCDL Fl1 U16","","",""
"Eastside FC Red B96",1952,56.25,52.17,36,"WA","B96","RCL B96 Div 1","","","FWRL96, WYS Championship B96"
"Idaho Rush Premier B97",1948,32.97,86.89,11,"ID","B97","","","Spr Idaho D3 U17 U17",""
