"team","total","attack","defense","n.games","region","age","fall.league","win.league","spr.league","other"
"Colorado Rush ECNL G00",1948,49.41,57.65,11,"CO","G00","","","","ECNL U14"
"Solar Chelsea SC ECNL G00",1932,48.53,52.66,17,"","G00","","","","ECNL U14"
"FC Stars of Massachusetts ECNL G00",1891,36.08,53.38,13,"MA","G00","","","","ECNL U14"
"SLSG MO ECNL G00",1885,34.33,53.78,12,"MO","G00","","","","ECNL U14"
"FC Dallas ECNL G00",1873,54.3,31.32,16,"TX","G00","","","","ECNL U14"
"San Diego Surf ECNL G00",1866,44.95,35.98,21,"CAS","G00","","","","ECNL U14"
"Slammers SC ECNL G00",1864,72.09,22.13,13,"CA","G00","","","","ECNL U14"
"San Juan SC ECNL G00",1838,34.28,38.82,15,"CAN","G00","","","","ECNL U14"
"Dallas Sting ECNL G00",1834,38.95,33.27,19,"TX","G00","","","","ECNL U14"
"CASL ECNL G00",1809,27.2,39.97,10,"CAS","G00","","","","ECNL U14"
"So Cal Blues SC ECNL G00",1804,40.93,25.74,13,"CAS","G00","","","","ECNL U14"
"Dallas Texans ECNL G00",1798,41.05,24.63,16,"TX","G00","","","","ECNL U14"
"Sporting Blue Valley ECNL G00",1796,46.59,21.35,16,"","G00","","","","ECNL U14"
"GSA ECNL G00",1793,33.08,29.46,22,"","G00","","","","ECNL U14"
"FC Bucks ECNL G00",1770,27.28,30.56,11,"","G00","","","","ECNL U14"
"Condorde Fire ECNL G00",1767,38.52,21.11,20,"","G00","","","","ECNL U14"
"Arsenal FC ECNL G00",1766,36.7,22.09,22,"CAS","G00","","","","ECNL U14"
"Eclipse Select SC ECNL G00",1765,39.51,20.32,10,"","G00","","","","ECNL U14"
"Lonestar SC ECNL G00",1761,21.84,35.8,18,"TX","G00","","","","ECNL U14"
"Richmond United ECNL G00",1745,36.46,19.13,10,"VA","G00","","","","ECNL U14"
"Crossfire Premier Reynolds G00",1729,24.43,25.6,33,"WA","G00","RCL G00 Div 1","","","ECNL U14, NWCL U14"
"West Coast FC ECNL G00",1721,23.12,25.6,14,"CA","G00","","","","ECNL U14"
"FC Salmon Creek Nemesis Yellow G00",1714,23.16,24.3,42,"WA","G00","OPL NPL U14","","","FWRL00, NWCL U14, WYS Championship G00"
"FC Virginia ECNL G00",1712,49.23,11.31,11,"VA","G00","","","","ECNL U14"
"FC Portland ECNL G00",1710,18.81,29.12,18,"OR","G00","","","","ECNL U14, NWCL U14"
"Vardar ECNL G00",1706,18.81,28.47,13,"MI","G00","","","","ECNL U14"
"NWN Red G00",1702,17.07,30.47,41,"WA","G00","RCL G00 Div 1","","Win RCL G00 Div 1","FWRL00, WYS Championship G00"
"WA Rush G00",1701,17.86,28.79,51,"WA","G00","RCL G00 Div 1","","Win RCL G00 Div 1","NWCL U14, WYS Championship G00"
"Real So Cal ECNL G00",1697,24.1,20.87,13,"CAS","G00","","","","ECNL U14"
"World Class FC ECNL G00",1697,25.07,19.98,15,"","G00","","","","ECNL U14"
"Boston Breakers Academy ECNL G00",1692,17.79,27.17,13,"MA","G00","","","","ECNL U14"
"FC Nova Pink G00",1687,20.44,22.92,25,"ID","G00","Idaho D3 A U14","","","ECNL U14"
"Penn Fusion ECNL G00",1685,23.84,19.4,14,"PA","G00","","","","ECNL U14"
"McLean Youth Soccer ECNL G00",1683,19.82,22.97,8,"","G00","","","","ECNL U14"
"Ohio Premier ECNL G00",1680,30.27,14.75,12,"OH","G00","","","","ECNL U14"
"Orlando City ECNL G00",1679,24.38,18.19,18,"FL","G00","","","","ECNL U14"
"Charlotte SA ECNL G00",1679,19.65,22.53,19,"NC","G00","","","","ECNL U14"
"AHFC ECNL G00",1678,21.95,20.07,19,"","G00","","","","ECNL U14"
"Texas Rush ECNL G00",1675,22.67,19.02,15,"TX","G00","","","","ECNL U14"
"West Florida Flames ECNL G00",1674,32.2,13.32,17,"FL","G00","","","","ECNL U14"
"Heat FC ECNL G00",1669,25.65,16.1,16,"NV","G00","","","","ECNL U14"
"Real Colorado G00",1662,23.5,16.71,15,"CO","G00","","","","ECNL U14"
"Eagles SC ECNL G00",1654,24.01,15.51,16,"CA","G00","","","","ECNL U14"
"WPFC A pre-ECNL G01",1639,17.91,18.78,55,"WA","G01","RCL G01 Div 1","","Win RCL G01 Div 1","FWRL01, NWCL U13, WYS Championship G01"
"SC Del Sol ECNL G00",1639,21.98,15.25,16,"UT","G00","","","","ECNL U14"
"Crossfire OR United ECNL G00",1631,15.76,20.1,22,"OR","G00","","","","ECNL U14, NWCL U14"
"Crossfire Premier Schmetzer G01",1628,15.95,19.5,43,"WA","G01","RCL G01 Div 1","","Win RCL G01 Div 1","NWCL U13, WYS Championship G01"
"Internationals SC G00",1626,20.44,14.99,12,"OH","G00","","","","ECNL U14"
"PacNW Maroon G00",1623,14.8,20.34,58,"WA","G00","RCL G00 Div 1","","Win RCL G00 Div 1","FWRL00, WYS Championship G00"
"Hawaii Intnl Athletics Chicas G00",1622,8.33,35.8,9,"HI","G00","","","",""
"WPFC A ECNL G00",1620,20.34,14.45,41,"WA","G00","RCL G00 Div 1","","","ECNL U14, NWCL U14"
"Eastside FC Red G00",1618,18.64,15.57,50,"WA","G00","RCL G00 Div 1","","Win RCL G00 Div 1","FWRL00, NWCL U14, WYS Championship G00"
"De Anza Force ECNL G00",1615,25.4,11.21,13,"CA","G00","","","","ECNL U14"
"Colorado Storm ECNL G00",1611,20.76,13.27,14,"CO","G00","","","","ECNL U14"
"DFeeters SC ECNL G00",1610,10.77,25.49,17,"","G00","","","","ECNL U14"
"Challenge SC ECNL G00",1610,19.88,13.77,14,"","G00","","","","ECNL U14"
"Match Fit Academy ECNL G00",1605,21.3,12.42,16,"","G00","","","","ECNL U14"
"TSC Hurricane ECNL G00",1603,25.22,10.39,17,"","G00","","","","ECNL U14"
"PDA ECNL G00",1600,20.43,12.56,14,"","G00","","","","ECNL U14"
"Conneticut FC ECNL G00",1597,13.74,18.28,11,"CT","G00","","","","ECNL U14"
"Pleasanton Rage ECNL G00",1595,24.57,10.1,11,"CAN","G00","","","","ECNL U14"
"Seattle United Copa G01",1587,19.85,11.8,40,"WA","G01","RCL G01 Div 1","","Win RCL G01 Div 1","NWCL U13, WYS Championship G01"
"Strikers FC ECNL G00",1587,13.76,16.98,13,"CA","G00","","","","ECNL U14"
"SSC Shadow A G00",1584,18.35,12.49,43,"WA","G00","RCL G00 Div 1","","Win RCL G00 Div 1","FWRL00, WYS Championship G00"
"Sockers SC ECNL G00",1580,15.08,14.74,14,"CAS","G00","","","","ECNL U14"
"FC Wisconsin Eclipse ECNL G00",1579,10.91,20.27,10,"WI","G00","","","","ECNL U14"
"Atlanta Fire ECNL G00",1575,17.24,12.51,17,"GA","G00","","","","ECNL U14"
"East Meadow SC ECNL G00",1574,17.19,12.46,16,"","G00","","","","ECNL U14"
