"team","total","attack","defense","n.games","region","age","fall.league","other"
"Eagles SC G01",1734,20.77,31.27,52,"CAS","G01","CalSouth CSL Gold",""
"Real Colorado National G01",1722,17.52,34.02,38,"CO","G01","CO Super League",""
"Legends FC G01",1658,15.37,24.88,55,"CAS","G01","CalSouth DSL1",""
"So Cal Blues Baker G01",1652,30.39,12.1,57,"CAS","G01","CalSouth DSL1",""
"Creeks Soccer Kursh Elite G01",1634,18.09,17.89,10,"FL","G01","",""
"WPFC pre-ECNL G01",1583,15.68,14.48,47,"WA","G01","RCL 1","NWCL"
"San Diego Surf SC EGSL Academy G01",1582,15.65,14.47,45,"CAS","G01","CalSouth DSL1",""
"Crossfire Premier A Schmetzer G01",1577,13.29,16.47,52,"WA","G01","RCL 1","NWCL"
"Sporting BV Juventus G01",1576,19.22,11.28,8,"KS","G01","",""
"LA Galaxy South Bay Elite G01",1572,14.63,14.39,52,"CAS","G01","CalSouth DSL1",""
"Hawaii Surf 01 G00",1565,18.38,10.9,13,"HI","G00","",""
"Fullerton Rangers White G01",1564,14.92,13.4,51,"CAS","G01","CalSouth CSL Gold",""
"Seattle United Copa G01",1554,16.49,11.26,47,"WA","G01","RCL 1","NWCL"
"West Coast FC G01",1548,14.89,12,58,"CAS","G01","CalSouth DSL1",""
"Mustang Legends G01",1541,12.37,13.79,48,"CAN","G01","EGSL North",""
"Minnesota Thunder 02 Academy G01",1534,11.99,13.54,11,"MN","G01","",""
"Arizona Arsenal 02 Teal G01",1524,13.4,11.32,39,"AZ","G01","AZSL 1",""
"Rebels Soccer Club Gold Marquez G01",1523,13.57,11.1,56,"CAS","G01","Presidio SDDA 1",""
"Anaheim Surf White G01",1513,12.19,11.47,59,"CAS","G01","CalSouth DSL1",""
"Legends FC Orange County G01",1512,4.4,31.61,11,"CAS","G01","CalSouth CSL Gold",""
"Davis Legacy Red G01",1502,10.48,12.39,64,"CAN","G01","NorCal Premier",""
"Arsenal FC G01",1499,9.35,13.64,44,"CAS","G01","CalSouth DSL1",""
"MVLA Avalanche Blue G01",1495,15.39,8.03,34,"CAN","G01","EGSL North","CalNorth CRL"
"Real So Cal White G01",1492,11.83,10.22,51,"CAS","G01","CalSouth DSL1",""
"FC Elk Grove 02 Platinum 1 G01",1477,12.88,8.45,37,"CAN","G01","NorCal Premier",""
"PacNW Maroon G01",1476,14.24,7.61,47,"WA","G01","RCL 1",""
"Arizona Arsenal 03 Premier Teal G02",1466,5.48,18.52,8,"AZ","G02","",""
"Colorado Rush Rush G01",1466,15.61,6.49,39,"CO","G01","CO Super League",""
"Sting 02 Higginbotham G01",1464,3.63,27.47,10,"TX","G01","",""
"CDA Slammers Melendez G01",1463,9.91,10,49,"CAS","G01","CalSouth DSL1",""
"Heat FC 02 RM G01",1456,11.93,7.89,47,"NV","G01","SSGSL Platinum U14",""
"Arsenal FC Brown G02",1454,14.42,6.45,12,"CAS","G02","",""
"Celtic Storm 02 Premier G01",1452,12.25,7.48,47,"UT","G01","Utah Premier 1",""
"Hawaii Surf 02 White G01",1451,11.99,7.6,32,"HI","G01","Oahu League Premier",""
